,Title,Date,Time,Score,Number of Comments
287,U.S. may launch strike if North Korea reaches for nuclear trigger,2017-04-14,18:51:51,0,0
288,Legendary flight director praises SpaceX for taking risks,2017-04-14,03:25:23,18,0
289,Burger King advert sabotaged on Wikipedia,2017-04-14,18:46:06,0,0
290,Researchers name loud shrimp after Pink Floyd,2017-04-13,21:29:49,48,14
291,Pittsburgh Steelers Chairman Dan Rooney Dies At Age 84,2017-04-14,00:19:23,28,3
292,"Worlds largest carbon capture plant opening in Richmond, Texas",2017-04-13,17:50:11,92,21
293,Buffett foundation unveils $90M plan to help girls of color.,2017-04-13,23:04:17,36,15
294,Scott Pruitt hails era of environmental deregulation in speech at coal mine,2017-04-14,00:54:07,24,7
295,Man sets self on fire in downtown Denver suicide attempt,2017-04-13,23:30:09,32,23
296,Facebook puts fake accounts on its most-wanted list - CNET,2017-04-14,09:20:43,4,0
297,Evacuation begins in besieged Syria towns,2017-04-14,09:20:30,4,2
298,S. Korea probes possible meth-smuggling ring involving US soldiers,2017-04-14,10:31:05,2,3
299,Crews knock down fire on Bellagio hotel-casino roof,2017-04-14,12:00:25,3,0
300,Pharmaceutical giant plotted to destroy cancer drugs to drive prices up 4000%,2017-04-14,16:49:11,25526,2758
301,British Woman Stabbed to Death in Israel,2017-04-14,15:50:45,534,290
302,Muslim woman stabbed and beaten after attacker tries to tear off her hijab,2017-04-14,07:09:47,1102,541
303,"Judge praises former LDS bishop, while sentencing him for rape, as victim listens",2017-04-14,17:52:03,118,42
304,US drops largest non-nuclear bomb in Afghanistan in area populated by Isis members,2017-04-13,20:43:28,52755,13481
305,"Lawyer says passenger dragged from United flight suffered significant concussion, broken nose and lost two front teeth",2017-04-13,19:23:03,13160,2300
306,"Georgia officer fired after kicking man in head during traffic stop, police say",2017-04-14,01:11:49,1339,134
307,Air China to suspend Beijing-Pyongyang flights: Chinese state TV,2017-04-14,17:45:40,60,19
308,NYPD reportedly defies sanctuary city status after alerting ICE on illegal immigrants court dates,2017-04-13,16:17:40,13316,6594
309,Musk says Tesla set to unveil semi truck in September,2017-04-13,22:00:02,1703,424
310,Trump signs law targeting funding for abortion providers/Planned Parenthood,2017-04-13,22:20:24,1393,960
311,College Student Says All My Bones Were Shattering in My Face as She Was Body-Slammed by Cop,2017-04-14,05:57:19,326,366
312,"Drunk harassed N.J. mom on flight, but United kept booze flowing, report says",2017-04-13,16:50:22,3770,308
313,Manhunt suspect Joseph Jakubowski caught and arrested,2017-04-14,17:12:15,37,5
314,"Facebook targets 30,000 fake France accounts before election",2017-04-14,19:14:37,24,2
315,Choate prep school investigation uncovers decades of sexual abuse,2017-04-14,18:19:42,27,2
316,Black Lives Matter release video of police dragging man from his car and kicking him in the face,2017-04-13,15:58:02,3650,1300
317,Vaccination rate jumps in California after tougher inoculation law,2017-04-13,23:32:20,786,145
318,Experimental rocket explosion injures 4 at University of Idaho,2017-04-14,11:42:52,78,8
319,Texas issues mumps advisory: Cases reach 20-year high,2017-04-14,18:39:43,20,8
320,"Golden Gate Bridge suicide barriers going up after 1,500 deaths",2017-04-14,17:28:35,24,25
321,Korean president refuses to go jail until they put up new wallpaper,2017-04-14,18:56:07,15,11
322,Court: Woman raped in state hospital cant sue for damages,2017-04-13,19:06:58,1141,199
323,"Tesla Inks 1.3million sqft Warehouse Lease Deal, now the Biggest Industrial Lease Deal In San Francisco Bay Area History",2017-04-14,09:55:03,69,11
324,U.S. may launch strike if North Korea reaches for nuclear trigger,2017-04-14,03:54:11,199,175
325,"Law enforcement officers may be illegally selling guns, ATF says",2017-04-13,15:51:37,1799,266
326,A Delaware judge on Thursday convicted a 17-year-old girl charged with homicide after a school bathroom fight that left a 16-year-old girl dead.,2017-04-13,18:04:27,1095,260
327,"Florida On Fire: A total of 105 active wildfires, spanning some 17,092 acres rage across Florida.",2017-04-14,17:43:49,13,3
328,US Sikhs Launch Ad Campaign That Looks to Push Back on Hate,2017-04-13,21:00:25,483,105
329,China Warns of Storm Clouds Gathering in U.S.-North Korea Standoff,2017-04-14,18:25:08,9,11
330,Scorpion stings man on United Airlines flight,2017-04-13,17:22:18,889,172
331,"US lakes soaking up road salt, some heading toward toxic levels",2017-04-14,00:10:32,244,41
332,36 ISIS fighters killed by US mother of all bombs: Afghan official,2017-04-14,10:24:27,34,57
333,Top boarding school acknowledges sexual abuse dating back decades,2017-04-14,18:40:34,7,0
334,Melbourne milk bar bans black teenagers,2017-04-14,10:30:26,25,36
335,CIA director Pompeo denounces WikiLeaks as Hostile Intelligence Service,2017-04-14,14:10:22,15,25
336,Quotes from North Korean official about tensions with US,2017-04-14,11:07:45,25,24
337,Mumps outbreak in Texas reaches 23-year high,2017-04-14,19:25:01,5,3
338,Nintendeo has discontinued the NES classic mini in North America,2017-04-13,23:38:58,175,104
339,Police Search For Owner of Gun Used in Accidental Shooting Streamed on Instagram,2017-04-14,19:00:08,6,0
340,"Passengers with smartphones are better than any new airline regulation, says ex-Virgin America chairman",2017-04-14,00:07:44,157,28
341,"Pair of Airmen stationed at Dover base charged with trafficking, sexually abusing child in dorms",2017-04-14,18:56:59,4,2
342,First African-American Woman to Serve on States Highest Court Found Dead in Hudson River,2017-04-13,03:45:06,36976,3890
343,Microsoft says U.S. foreign intelligence surveillance requests more than doubled,2017-04-14,02:48:50,89,3
344,Texas student commits suicide after Title IX kangaroo court,2017-04-13,09:13:25,2277,837
345,Woman jailed after police say she lied about being raped at Texas park,2017-04-14,03:08:09,74,12
346,Strangers tip waitress enough to pay off college debt,2017-04-14,05:44:28,41,29
347,NYCs Newest Weapon Against the Rats? Sterilization,2017-04-14,17:34:25,6,1
348,Uber may face $1 million fine over California drunken-driving complaints,2017-04-14,13:09:52,12,1
349,"Woman, 74, sues after sting and tough questioning over moon rock",2017-04-14,04:53:54,51,12
350,Nasa announce one of Saturns moons could support alien life in our solar system,2017-04-13,22:09:28,167,33
351,A longtime New Jersey high school teacher who called a student a loser in a Facebook post has had her teaching license suspended for two years.,2017-04-14,19:50:06,2,0
352,Chechnya anti-gay violence: Newspaper fears retribution for reports,2017-04-14,19:42:26,2,0
353,"Students protest teachers firing, given detentions and suspensions.",2017-04-14,05:50:50,38,8
354,Ballooning bills - More U.S. hospitals pushing patients to pay before care,2017-04-13,17:53:45,316,160
355,Chechens tell of prison beatings and electric shocks in anti-gay purge: They called us animals,2017-04-13,20:47:58,176,2
356,Four people shot aboard metro transit train in Atlanta,2017-04-14,03:07:23,50,13
357,Family of former Tenn. teacher accused of kidnapping student: Daddy...we just want you to come home,2017-04-14,12:00:20,10,3
358,Police: No signs of criminality in New York judges death,2017-04-13,17:16:42,314,104
359,Trumps Mar-a-Lago kitchen cited for food safety violations - BBC News,2017-04-13,20:30:55,155,38
360,Scientists Announce That The Great Barrier Reef is Officially Terminal,2017-04-13,03:44:59,3669,496
361,"Delta Airlines gives family $14,600 for being bumped off short flight",2017-04-13,07:51:01,1578,324
362,"Boy, 8, drives sister, 4, to McDonalds for a cheeseburger, doesnt hit anything on the way",2017-04-13,00:05:13,15370,882
363,Nigerias anti-corruption unit finds $43 million cash in Lagos apartment,2017-04-14,10:59:09,11,2
364,"The bodies of four men, all described as having suffered significant trauma, were discovered in a park in a suburban New York neighborhood that has for years contended with a growing problem of gang violence.",2017-04-13,18:10:14,212,109
365,Detroit-Area Doctor Charged With Performing Female Genital Mutilation - First Ever Charged under Statute,2017-04-13,20:01:59,149,47
366,Attorney for United Airlines passenger Dao says there will probably be a lawsuit,2017-04-13,20:09:50,141,150
367,Satellite photos show North Korean nuclear site primed and ready,2017-04-13,11:37:42,690,347
368,North Korea: Photos of new Ryomyong street complex that is scarier than hundreds of nuclear bombs,2017-04-14,09:02:26,13,8
369,Target recalls Easter toys due to serious ingestion hazard,2017-04-14,12:21:27,6,3
370,Nurses grant dying man final wish  a cigarette and glass of wine,2017-04-14,02:06:28,44,22
371,Dozens of Passengers Stuck on Six Flags Coaster,2017-04-14,02:31:50,45,8
372,"New Pulse review from Orlando police reveals details, lessons learned",2017-04-14,15:02:44,4,0
373,The legal battle to stop Arkansas 7 executions in 10 days.,2017-04-14,08:49:08,11,0
374,S. Korea probes possible meth-smuggling ring involving US soldiers,2017-04-14,10:31:05,8,3
375,"Sexual Abuse at Choate Went on for Decades, School Acknowledges",2017-04-14,05:18:44,21,10
376,Delaware airmen charged with sexually abusing runaway girl,2017-04-14,07:05:36,16,1
377,Charlie Murphy dead at 57 after battle with leukaemia.,2017-04-12,21:19:03,39283,1066
378,Alabama Real Estate Investor Sentenced for Bid Rigging and Fraud at Public Foreclosure Auctions,2017-04-14,02:30:58,31,0
379,"15-year-old boy arrested for reportedly starting Clarksville fire that caused $500,000 in damage",2017-04-14,08:22:03,10,4
380,Pakistan: Mardan university student lynched by mob over alleged blasphemy: police,2017-04-13,19:58:56,100,28
381,A Samsung Group building evacuated on report of explosives: media,2017-04-14,07:38:51,12,6
382,Man dies after slashing own throat in Glasgow city centre,2017-04-14,02:09:59,28,7
383,Governor Doug Ducey signed into law on Wednesday sweeping reforms that will make it tougher for law enforcement agencies to seize cash and property in investigations.,2017-04-13,04:25:30,1536,91
384,"Parents protest bullying at area h.s., after recent suicide",2017-04-14,05:45:52,14,2
385,Brilliant innovations in our Justice system are underway - the 2017 HiiL Justice Challenge (Amsterdam) showcases this,2017-04-14,19:54:12,1,0
386,"European Court finds Russian security forces violated human rights laws when they used flamethrowers, tank cannon, and grenade launchers in a failed attempt to rescue over 1,000 hostages in the 2004 Beslan school siege which left over 330 dead, most of whom were children.",2017-04-13,21:14:33,62,12
387,North Korean Official: Situation in a Vicious Cycle,2017-04-14,07:38:00,8,7
388,MARTA: 4 people shot at West Lake station; Suspect detained,2017-04-14,01:32:58,28,6
389,Mexican authorities arrest suspect in killing of U.S. Border Patrol Agent Brian Terry,2017-04-14,00:24:27,31,5
390,Huddersfield child sex inquiry sees 29 in court - BBC News,2017-04-13,16:07:53,148,52
391,"1 killed, 3 injured in Atlanta transit train shooting",2017-04-14,06:40:40,9,2
392,Evacuation begins in besieged Syria towns,2017-04-14,09:20:30,6,2
393,Parole board grants White Boy Rick Wershe public hearing for potential release,2017-04-14,18:57:36,1,0
394,Legendary flight director praises SpaceX for taking risks,2017-04-14,03:25:23,18,0
395,Burger King advert sabotaged on Wikipedia,2017-04-14,18:46:06,0,0
396,Researchers name loud shrimp after Pink Floyd,2017-04-13,21:29:49,49,14
397,"Worlds largest carbon capture plant opening in Richmond, Texas",2017-04-13,17:50:11,98,21
398,Pittsburgh Steelers Chairman Dan Rooney Dies At Age 84,2017-04-14,00:19:23,33,3
399,Buffett foundation unveils $90M plan to help girls of color.,2017-04-13,23:04:17,35,15
400,Smoking to kill 200 million in China this century: WHO,2017-04-15,18:56:30,5763,713
401,North Miami cop charged in shooting of autistic mans unarmed therapist,2017-04-15,19:35:07,1656,190
402,"Assad retains hundreds of tons of chemical weapons, says defected general",2017-04-15,16:39:55,1048,307
403,"USAA sets $16 minimum wage, expands parental leave benefits",2017-04-15,20:08:06,514,57
404,Last person born in 1800s dies at 117,2017-04-15,21:19:53,312,54
405,"2 Arrested for Smuggling Used Bottles, Cans into California for Recycling Fee",2017-04-15,19:28:35,315,54
406,Penn Station: 16 injured in stampede over false reports of gunfire,2017-04-15,18:23:57,365,74
407,Afghan official: Massive US bomb death toll rises to 94,2017-04-15,19:34:21,185,60
408,"Ahead of referendum, Europeans boycott Turkey and tourism suffers",2017-04-15,16:37:28,293,42
409,White House Says It Will No Longer Release Visitor Logs To The Public,2017-04-14,23:35:30,12542,1095
410,Sri Lanka rubbish dump collapse kills 19,2017-04-15,19:06:36,139,21
411,One broadband choice counts as competition in new FCC proposal,2017-04-15,03:19:03,2480,244
412,Former Defense Secretary William Perry on why we didnt go to war with North Korea,2017-04-15,19:01:09,127,49
413,"Former Laurel Wal-Mart manager charged with staging $400,000 store robbery in which he was shot",2017-04-15,18:43:03,121,18
414,Major Leak Suggests NSA Was Deep in Middle East Banking System,2017-04-15,03:17:45,1424,207
415,Pope Francis expresses shame over Catholic church sexual abuse scandals,2017-04-15,12:01:26,232,36
416,Pharmaceutical giant plotted to destroy cancer drugs to drive prices up 4000%,2017-04-14,16:49:11,67586,6310
417,Delta Airlines reaffirms policy to pay passengers if overbooked and raises the compensation offered.,2017-04-15,02:22:48,1296,181
418,Texas court wont release affluenza defendant from jail,2017-04-15,06:23:57,595,131
419,The U.S. Navy is banning vaping on ships after at least a dozen reports of explosions and injuries.,2017-04-14,22:47:15,2211,455
420,Man with stalking-like behavior hides in shed; neighbor boy locks him in until police arrive,2017-04-15,10:53:01,226,15
421,Teacher Wanted On Child Porn Charges Kills Self,2017-04-15,03:49:57,708,321
422,Man playing traffic cop pulls over unmarked police car,2017-04-15,02:48:45,693,78
423,Crackdowns against dissidents sign of weakened democracy in African nations,2017-04-15,16:11:28,55,1
424,WikiLeaks: ISIS Tunnels Blown Up By MOAB Were Built By CIA,2017-04-14,20:03:42,2489,796
425,Couple finds out are biological twins during ivf treatment,2017-04-15,22:24:59,15,11
426,Man tries to sue Scienceworks after breaking his back trying to outrun Olympic gold medallist Cathy Freeman,2017-04-15,13:03:00,87,95
427,"Police: Burglar breaks into home, cooks fried chicken",2017-04-15,16:43:23,41,30
428,OKC woman who used witch persona in child abuse sentenced to three life terms,2017-04-15,22:22:01,13,0
429,Judge dismisses federal lawsuit filed by man whose drone was shot down by Bullitt County resident,2017-04-15,20:41:01,18,14
430,"NSAs Windows Hacking Tools Leaked, Millions of Users Exposed",2017-04-15,02:03:48,524,50
431,Cleveland police officer fired and charged with gross sexual imposition after illegally pulling over two young women and sexually assaulting them with sex toy,2017-04-15,10:46:17,101,28
432,"Venezuela Staves Off Default, but Low Oil Prices Pose a Threat",2017-04-15,19:01:43,22,0
433,"Turkey probes senator, ex-CIA director over links to cleric",2017-04-15,16:40:36,29,3
434,"1,100 strangers showed up at his home for sex. He blames Grindr",2017-04-15,04:14:01,268,81
435,First Womens Mosque Founded in Northern California,2017-04-15,19:10:45,17,4
436,"Judge praises former LDS bishop, while sentencing him for rape, as victim listens",2017-04-14,17:52:03,1708,326
437,700 Immigrants On Hunger Strike at For-Profit Prison to Protest Conditions & $1/Day Wages,2017-04-14,21:10:11,880,743
438,April the giraffe is in active labor,2017-04-15,16:02:13,25,19
439,Family devastated at student stab attack,2017-04-15,19:49:25,14,4
440,Health Giant Sues State of Arkansas as Federal Judge Issues Injunction,2017-04-15,21:12:03,9,1
441,Black Lives Matter group posts bail for black mothers who can not afford bail.,2017-04-15,07:05:51,111,144
442,Teacher awarded almost half a million pounds after being hit over head with skate board by violent pupil,2017-04-15,11:19:34,50,7
443,US claims success in test drop of upgraded nuclear weapon,2017-04-15,15:23:21,22,8
444,"Oil spill reported in Alaska, volume unknown",2017-04-15,02:42:30,226,42
445,"The last living person born in the 1800s, Emma Morano, has died at the age of 117.",2017-04-15,22:13:15,7,2
446,Heroin Crisis: Nevada becomes first state with syringe vending machines,2017-04-15,02:17:41,232,90
447,"Facebook targets 30,000 fake France accounts before election",2017-04-14,19:14:37,782,325
448,Scientists just found a strange and worrying crack in one of Greenlands biggest glaciers,2017-04-15,00:06:59,305,36
449,"A Florida waiter is accused of stealing a $3,000 diamond ring that fell off a customers finger.",2017-04-15,20:26:20,7,4
450,British Woman Stabbed to Death in Israel,2017-04-14,15:50:45,1357,611
451,Dorm debate led to death in Pakistan blasphemy killing: witnesses,2017-04-14,22:06:05,417,279
452,Former Patriots TE Aaron Hernandez found not guilty in Boston double murder,2017-04-14,23:18:51,315,136
453,Schools in West Virginia will be able to give drugs to students who overdose on opioids without having to first contact parents under a new law approved this week,2017-04-14,23:25:51,311,81
454,Final push ahead of landmark Turkey vote,2017-04-15,19:38:45,6,6
455,U.S. judge puts hold on Arkansas plan for successive executions,2017-04-15,22:38:00,5,0
456,Hackers release files indicating NSA monitored global bank transfers,2017-04-15,00:49:18,218,20
457,1996 Washington school shooter apologizes in his 1st remarks,2017-04-15,22:29:14,3,1
458,Korean president refuses to go jail until they put up new wallpaper,2017-04-14,18:56:07,605,120
459,Courts Block 7 Executions Set For 11-Day Span In Arkansas,2017-04-15,04:40:53,98,18
460,Pet dog dies saving woman from knife-wielding intruder in Mumbai,2017-04-14,22:08:58,318,11
461,Texas issues mumps advisory: Cases reach 20-year high,2017-04-14,18:39:43,587,68
462,"San Jose State Police Accused Of Assault, Putting Bag Over Students Head",2017-04-15,04:23:43,91,6
463,US military taking climate change into account in food and energy security,2017-04-15,05:47:06,69,1
464,Russian warships escorted through the English Channel tonight- for the third time in six months,2017-04-15,20:49:05,4,2
465,Boston marks 4th Anniversary of Marathon bombings with One Boston Day.,2017-04-15,21:51:14,2,0
466,Video: Driver of van seen trying to hit 3 bicyclists in Elyria,2017-04-15,21:41:05,2,1
467,Huge military parade showcases submarine-based missiles for first time,2017-04-15,16:45:04,6,1
468,"Two dead, one injured in shooting Tucson mall",2017-04-15,09:50:24,24,6
469,Modest 90th birthday party planned for retired pope,2017-04-15,19:16:02,4,2
470,"Police: Oregon father kills two young daughters, self",2017-04-15,14:51:23,8,4
471,North Korea displays submarine-based missiles for first time at military parade,2017-04-15,07:15:57,36,21
472,"Hennepin County(which hosts Minneapolis, Minnesota) Measles Outbreak now includes eight children.",2017-04-15,11:09:49,18,2
473,10 year old autistic boy served with warrant at school and arrested on third degree felony charges after months long suspension for kicking a teacher.,2017-04-14,22:33:17,178,132
474,"Golden Gate Bridge suicide barriers going up after 1,500 deaths",2017-04-14,17:28:35,441,262
475,Oregons first pot friendly campground? It could be Smoke on the Water Lake Selmac,2017-04-15,07:30:34,34,8
476,Chechnya anti-gay violence: Newspaper fears retribution for reports,2017-04-14,19:42:26,270,78
477,Self-serve kiosks to replace food staff at SUNY Orange,2017-04-15,08:39:31,26,15
478,Borussia Dortmund bombs: Letters at scene not from Islamists,2017-04-15,05:30:34,41,10
479,New report says tech companies spy on students in school,2017-04-14,22:10:39,160,16
480,Child Protection Petitions Filed for 2 Girls Authorities Say Were Brought to Michigan for Genital Mutilation,2017-04-15,05:30:39,42,1
481,Olympic swimmer races six months pregnant,2017-04-15,21:36:56,3,0
482,An Australian woman birthed a 13-pound baby. What are the health risks?,2017-04-15,21:25:12,0,5
483,Saudi woman on way to Australia for asylum kidnapped by family,2017-04-14,20:07:08,210,33
484,"Airman paid $20 for a girl, kept in dorm for sex, feds say",2017-04-15,08:32:19,20,10
485,Large asteroid to hurtle past Earth on April 19,2017-04-15,02:24:27,62,25
486,Arkansas judge blocks use of lethal injection drug ahead of scheduled executions,2017-04-15,06:04:28,32,0
487,"Todd Heap accidentally hit, killed young daughter with truck Friday",2017-04-15,10:34:30,14,6
488,Inmate spent nearly two days in restraint chair prior to death,2017-04-14,23:32:14,99,12
489,Choate prep school investigation uncovers decades of sexual abuse,2017-04-14,18:19:42,252,35
490,"Defiant, Generic Drug Maker Continues to Raise Prices",2017-04-15,02:19:05,52,3
491,"Two types of the teething products, which previously were linked to the deaths of 10 children, have been recalled, the Food and Drug Administration announced on Thursday.",2017-04-15,08:31:47,15,1
492,A longtime New Jersey high school teacher who called a student a loser in a Facebook post has had her teaching license suspended for two years.,2017-04-14,19:50:06,162,29
493,"DELTA OKs Offers Of Up To $9,950 To Flyers Who Give UP Sseats",2017-04-14,22:28:13,95,58
494,"Riots, looting in Venezuela; opposition leaders arrested",2017-04-15,02:27:47,47,15
495,Boy dies after getting head stuck in wall of spinning restaurant,2017-04-15,07:13:00,19,64
496,"Alcohol Ban Succeeds as Women Warn, Behave, or Well Get Tough",2017-04-15,23:04:40,1,1
497,UPS driver credited with saving woman and daughter from house fire,2017-04-15,00:33:43,66,8
498,Trains delayed by cows on the line in Kent - BBC News,2017-04-15,23:01:47,0,1
499,US troops to help Somalia fight al-Shabab - BBC News,2017-04-15,04:50:26,30,4
500,"Days after two officers in suburban Atlanta were fired when videos surfaced showing them kicking and punching a motorist, authorities have reportedly dismissed nearly 90 cases involving the pair.",2017-04-16,15:32:36,36497,2290
501,United Staff Will No Longer Take Seats of Boarded Passengers,2017-04-16,21:31:10,577,176
502,OReillys Behavior Said to Have Helped Drive Megyn Kelly Out at Fox,2017-04-16,17:17:15,625,65
503,North Korea attempts but fails to launch missile: South Korea,2017-04-16,03:03:53,20610,1411
504,Geography teacher cleared of raping pupil says men should stay away from teaching,2017-04-16,19:42:40,309,339
505,Cleveland Police investigating shooting broadcasted on Facebook Live,2017-04-17,00:19:10,123,96
506,USS Arizona survivor laid to rest inside sunken battleship,2017-04-16,15:17:39,536,22
507,Another journalist is gunned down in Mexico  the fourth in just six weeks,2017-04-16,14:52:26,451,48
508,Bride and groom booted off United flight in Houston,2017-04-16,19:39:44,174,126
509,White supremacist allegedly caught on video punching a woman in the face at a protest,2017-04-16,19:50:01,118,1051
510,"Pot arrests continue in Massachusetts, even after legalization",2017-04-16,03:32:00,2410,277
511,Terry Jones: Ive got dementia. My frontal lobe has absconded,2017-04-16,20:36:51,94,9
512,Last person born in 1800s dies at 117,2017-04-15,21:19:53,23403,1094
513,Shaq pays for funeral of teen who accidentally killed himself on Instagram,2017-04-16,04:50:43,1675,585
514,Man dies during lap dances at strip club,2017-04-16,19:32:51,100,45
515,"3 teenagers, 1 infant shot at Alabama churchs Easter carnival",2017-04-16,17:41:31,113,61
516,Remains of five lost Archbishops of Canterbury found,2017-04-16,16:02:45,150,14
517,Army charges retired major general with rape against a minor in the 1980s,2017-04-16,15:23:19,159,53
518,Smoking to kill 200 million in China this century: WHO,2017-04-15,18:56:30,22902,2714
519,A Saudi womans plea for help exposes risks runaways face,2017-04-16,17:03:13,113,49
520,North Miami cop charged in shooting of autistic mans unarmed therapist,2017-04-15,19:35:07,8374,606
521,Police shot and Killed Army Veterans Service Dog,2017-04-16,06:19:13,656,230
522,Forcibly reptriated Saudi woman: My family will kill me,2017-04-16,19:33:19,46,2
523,"USAA sets $16 minimum wage, expands parental leave benefits",2017-04-15,20:08:06,3737,304
524,North Korea nuclear: US working with China on response,2017-04-16,20:47:43,32,9
525,Delta Air Lines increases passenger compensation to $13k after dragging debacle,2017-04-16,02:37:16,858,188
526,P.E.I. familys 10-year-old son bumped from overbooked Air Canada flight,2017-04-16,21:04:54,28,5
527,James Bond star Clifton James dies aged 96,2017-04-16,17:51:11,44,6
528,Bill Seeks to Enlist New York Hotels to Help Fight Sex Trafficking,2017-04-16,18:49:59,32,4
529,Syria war: At least 68 children among 126 killed in bus bombing,2017-04-16,18:09:28,33,3
530,"Right, left-wing protesters clash in Berkeley, California park",2017-04-16,00:33:08,902,2533
531,"Violent mob targets mentally ill man in Karachi, Pakistan",2017-04-16,21:02:08,20,4
532,Levaquin Antibiotics: Some Plaintiffs affected by serious Side Effects got Millions of Dollars. Lawyers Claim Pharmaceutical Company Knew Of Drug Risks.,2017-04-16,21:40:57,17,3
533,Underwater gas pipeline in Alaska fixed after leaking for almost 5 months.,2017-04-16,05:08:30,355,36
534,Apples cash hoard swells to record $246.09 billion,2017-04-16,04:29:10,304,352
535,Erdogan ahead in Turkey referendum.,2017-04-16,19:32:23,16,9
536,Snapchat ratings drop to one star on App Store after Evan Spiegels poor countries like India comment,2017-04-16,16:03:25,35,35
537,"9 wounded in Ohio club shooting, police say",2017-04-16,14:13:36,46,18
538,All-male panel ruled on rape bill during Marylands legislative session,2017-04-16,17:39:43,24,42
539,New York state allots $1M to create hate crimes task force,2017-04-16,21:41:18,10,6
540,Thomas Klocke took his own life last June after he was accused of sexual misconduct. His father has filed a lawsuit claiming the university violated Title IX and discriminated against his son.,2017-04-16,10:58:35,72,15
541,Iraq: Islamic State launches chlorine gas attacks in western Mosul,2017-04-16,05:54:40,180,59
542,"2 Arrested for Smuggling Used Bottles, Cans into California for Recycling Fee",2017-04-15,19:28:35,1216,225
543,"Man to be arraigned, accused of shining laser in eyes of MSP trooper",2017-04-16,23:21:53,7,4
544,Turkey referendum: Erdogan wins vote to expand presidential powers.,2017-04-17,01:03:00,4,2
545,A Montana State University professor is suing Wal-Mart for libel after he says an employee at the Bozeman store listed his occupation on a fishing license as a toilet cleaner.,2017-04-16,05:02:05,193,135
546,Woman robs five banks in 24 hours.,2017-04-16,05:22:27,178,70
547,Sylvester Stallone sues greedy film studio - BBC News,2017-04-16,19:58:39,13,5
548,"Assad retains hundreds of tons of chemical weapons, says defected general",2017-04-15,16:39:55,1846,487
549,ATFs focus on firearm sales by police may be tied to gun seizure at Pasadena officers home,2017-04-16,17:19:26,19,11
550,California Man Accused Of Giving Co-Worker Cannabis-Laced Chocolate Bar,2017-04-16,23:58:11,4,7
551,"22,000 years of history evaporates after freezer failure melts Arctic ice cores",2017-04-17,00:57:48,6,0
552,Members of International Child Exploitation Conspiracy Plead Guilty,2017-04-16,17:44:41,15,0
553,India to get building higher than Dubais Burj Khalifa,2017-04-16,20:06:33,8,7
554,Mexico revives ancient ball game,2017-04-16,08:02:21,72,32
555,Alaska oil well leaking gas in northern part of state. The Environmental Protection Agency says a crack in a BP wellhead near Deadhorse sent up mist of crude oil Friday before it froze over and an initial leak stopped.,2017-04-16,07:52:46,73,5
556,Penn Station: 16 injured in stampede over false reports of gunfire,2017-04-15,18:23:57,774,193
557,"Guns, Military Shells Seized From Cohasset (MA) Home",2017-04-16,15:02:20,17,33
558,Oregon citys dog ban condemned as crackdown on homeless people,2017-04-16,03:41:02,135,62
559,"Internet, computer pioneer Robert W Taylor dies",2017-04-16,17:14:50,10,1
560,Afghan official: Massive US bomb death toll rises to 94,2017-04-15,19:34:21,574,290
561,Man arrested after hitting child for eating the last breadstick,2017-04-16,05:26:03,89,45
562,"2 arrested for allegedly smuggling $20,000 worth of recyclables into California",2017-04-16,15:27:59,15,9
563,Florida police officer arrested in shooting of unarmed black man,2017-04-16,07:38:47,61,21
564,Sex for rent housing adverts have sprung up online.,2017-04-16,10:45:42,31,43
565,Son of officer slain in 2007 fatally shot Friday night - Baltimore Sun,2017-04-16,15:31:53,12,1
566,"Turkey launches investigation into 17 US politicians, bureaucrats and academics over last years attempted coup",2017-04-16,02:54:22,134,30
567,Hikers savor final days of access to popular trail near Hollywood sign as some locals protest closure,2017-04-16,16:25:55,10,7
568,"Madison county covered bridge burns, arson suspected",2017-04-17,01:01:56,4,1
569,Navy SEAL Being Investigated For Starring In Dozens Of Porn Videos,2017-04-16,11:10:38,22,38
570,Mexican governor accused of embezzling billions detained in Guatemala,2017-04-16,12:27:05,16,1
571,Officials in small town Iowa trying to stop rumors from spreading by hosting rumor sessions.,2017-04-16,22:05:40,4,3
572,Three teens and a baby were injured in a shooting during a carnival outside an Alabama church.,2017-04-16,09:17:50,32,7
573,Couple bring mans three grandchildren to heroin deal,2017-04-16,15:26:09,9,5
574,"2,000 people rescued off the coast of Libya so far this weekend",2017-04-16,10:23:37,20,4
575,"Former Laurel Wal-Mart manager charged with staging $400,000 store robbery in which he was shot",2017-04-15,18:43:03,352,57
576,Sri Lanka rubbish dump collapse kills 19,2017-04-15,19:06:36,322,37
577,Pope presides over solemn Easter Vigil amid security fears,2017-04-16,15:25:23,8,3
578,OKC woman who used witch persona in child abuse sentenced to three life terms,2017-04-15,22:22:01,159,26
579,Former Defense Secretary William Perry on why we didnt go to war with North Korea,2017-04-15,19:01:09,264,149
580,4 injured in shooting at Alabama church carnival,2017-04-16,10:14:47,17,2
581,Parents oblige 3-year-old who wanted a poop-themed birthday party,2017-04-16,15:30:41,5,7
582,Christian man tortured in Pakistan for befriending Muslim woman,2017-04-17,01:13:21,0,0
583,Man arrested after police found drunk dog,2017-04-16,10:15:54,15,2
584,Thousands of migrants saved from Mediterranean Sea for second day,2017-04-16,16:10:27,3,0
585,Judge dismisses federal lawsuit filed by man whose drone was shot down by Bullitt County resident,2017-04-15,20:41:01,138,95
